Date,Underlying,C280,C290,C300,C310,C320,C330,C340,C350,C360,P280,P290,P300,P310,P320,P330,P340,P350,P360
2022-03-04,289.86,13.75,8.25,3.58,1.26,0.39,0.13,0.06,0.04,0.03,4.8,8.1,13.25,21.48,31.66,41.22,51.85,59.05,71.4
2022-03-07,278.91,7.8,3.4,1.25,0.4,0.17,0.08,0.03,0.02,0.01,8.95,14.52,21.99,29.07,39.63,50.58,59.04,65.38,79.2
2022-03-08,275.85,6.15,2.35,0.75,0.3,0.11,0.05,0.03,0.03,0.02,10.0,16.1,23.65,32.34,39.75,53.05,62.86,73.7,84.0
2022-03-09,288.5,11.63,5.75,2.0,0.48,0.13,0.06,0.03,0.01,,3.9,7.4,14.05,22.41,32.32,42.63,54.8,63.41,
2022-03-10,285.59,9.79,3.8,1.1,0.27,0.08,0.03,0.02,0.02,0.01,4.04,8.25,15.58,24.46,34.98,44.71,57.75,69.25,
2022-03-11,280.07,5.8,1.84,0.43,0.13,0.05,0.02,0.03,0.01,0.01,5.95,12.2,19.75,30.25,38.48,46.46,57.6,63.5,
2022-03-14,276.44,3.6,0.8,0.19,0.06,0.02,0.01,0.01,0.01,0.03,7.2,14.0,23.97,32.3,42.46,51.73,59.43,70.93,
2022-03-15,287.15,9.25,3.05,0.48,0.1,0.02,0.01,0.01,0.03,0.01,2.05,5.85,12.98,23.05,33.5,43.37,53.75,63.68,76.8
2022-03-16,294.39,13.85,5.78,0.73,0.07,0.04,0.02,0.03,0.01,0.01,0.31,1.64,7.02,16.2,27.65,36.1,49.2,60.8,73.3
2022-03-17,295.22,15.55,5.9,0.33,0.02,0.01,0.01,0.01,0.03,0.03,0.07,0.5,5.09,15.5,25.67,35.65,50.03,57.68,67.3
2022-03-18,300.43,20.0,10.33,0.74,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,9.98,19.49,30.6,39.63,53.3,
